Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
Prabhu Bank,2025/26 Q3,192.30,198.48,8.30,-1.59%,1.21%,-2.88%,3.83%,-16.37%,"45,272,208,077.70","23,542,490.00","10,890,798.00","16,819,667.00","7,181,924.00","851,523.00","-1,722,676.00",43.16%,27.77%,0.00%,5.85%,-3.20%,34.85%,28.34%,0.00%,24.42%,21.11%,3.30%,-1.89%,12.26%,0.28%,-0.16%,1.09%,4.82,-2.76,18.76,4.82,146.26,39.87,39.87,-69.46,10.24,1.31,0.00%,10.46%,91.43%,1167.30%,1.03,1.18,-1.52%,-2.15%,-14.40%,-20.01%,3.64%,-0.36%,-1011.11%,63.33%,44.67,-0.61%,-0.82%,-16.90%,-0.46
Prabhu Insurance,2025/26 Q3,670.50,695.97,9.40,-1.25%,-1.41%,2.52%,6.62%,-8.83%,"11,404,909,980.00","1,700,955.92","249,124.55","744,488.17","560,086.84","211,555.52",0.00,86.08%,27.26%,53.10%,49.92%,34.69%,71.08%,31.07%,36.18%,32.79%,22.77%,14.65%,18.51%,11.85%,3.68%,4.65%,3.04%,16.58,20.95,13.12,15.25,209.54,43.94,40.43,32.00,51.09,2.10,0.00%,0.00%,53.58%,215.44%,1.00,1.35,-1.58%,-2.24%,-15.38%,-22.02%,2.68%,-0.18%,-1488.89%,65.65%,41.92,7.72%,4.99%,-8.90%,-0.88
Siddhartha Premier Insurance Limited,2025/26 Q3,687.00,712.67,4.90,-1.86%,-1.01%,-3.25%,-6.50%,-13.02%,"19,280,997,813.00","2,806,549.90","332,788.42","1,922,225.73","568,230.87","40,134.36",0.00,60.82%,21.19%,39.53%,38.98%,27.29%,45.08%,28.27%,17.28%,15.78%,10.45%,1.76%,28.85%,8.89%,0.25%,4.10%,1.53%,1.90,31.16,10.67,1.90,250.05,360.30,360.30,22.04,64.33,1.32,0.00%,0.00%,67.14%,304.32%,0.93,1.15,-1.62%,-2.30%,-13.59%,-19.23%,3.68%,-0.28%,-1314.29%,66.72%,40.67,0.74%,1.04%,-14.91%,-1.41
Prime Commercial Bank,2025/26 Q3,240.10,241.34,-2.40,-0.58%,3.94%,0.76%,-0.71%,1.54%,"46,585,584,735.90","20,954,781.77","14,936,221.84","16,298,745.70","6,841,242.73","3,089,335.31","673,604.72",43.07%,15.62%,0.00%,29.50%,20.59%,40.54%,13.77%,0.00%,34.83%,21.99%,11.66%,11.85%,14.28%,1.28%,1.30%,1.55%,19.65,19.96,23.30,19.65,171.27,12.21,12.21,12.02,10.30,1.40,0.00%,11.41%,88.97%,906.62%,0.84,0.92,-1.27%,-1.80%,-11.02%,-15.35%,2.75%,0.01%,27500.00%,58.49%,50.04,4.29%,0.41%,-10.74%,0.04
Progressive Finance,2025/26 Q3,423.10,452.24,-1.90,-2.51%,-2.26%,-2.74%,-5.98%,-18.43%,"3,622,188,717.00","848,106.00","-211,565.55","403,602.16","140,944.24","-24,743.25","-9,564.71",36.73%,38.43%,0.00%,3.36%,3.37%,35.50%,36.27%,0.00%,0.43%,-0.59%,-5.22%,2.85%,-0.51%,-0.39%,0.21%,-0.04%,-3.88,2.12,-0.38,-3.85,75.05,-109.74,-108.76,198.96,"-1,105.28",5.63,0.00%,39.28%,92.63%,1357.73%,1.64,1.68,-2.41%,-3.43%,-18.28%,-26.03%,3.24%,-0.42%,-771.43%,74.35%,36.77,-1.09%,-3.27%,-19.56%,-0.80
Rastriya Beema,2025/26 Q3,"14,300.00","15,014.78",89.00,-2.05%,0.70%,-4.03%,-4.34%,-9.06%,"38,129,019,500.00","266,639.05","2,602,479.75","739,468.45","542,844.43","288,953.40",0.00,104.89%,24.10%,76.96%,75.86%,57.03%,75.70%,32.12%,41.17%,40.49%,34.43%,13.54%,15.71%,11.63%,1.52%,1.76%,1.29%,144.49,167.55,120.36,144.49,"6,524.10",98.96,98.96,85.34,118.80,5.19,0.00%,0.00%,31.57%,146.14%,0.77,0.88,-1.41%,-1.99%,-10.16%,-14.22%,1.76%,-0.20%,-880.00%,85.73%,45.15,-3.11%,-2.08%,-10.83%,-32.99
Global IME Laghubitta Bittiya Sanstha,2025/26 Q3,"1,090.00","1,128.34",18.00,-1.44%,-0.91%,-1.89%,-2.39%,-17.22%,"6,746,012,180.00","648,297.79","743,698.71","1,160,509.66","733,151.14","219,594.48",0.00,63.38%,24.33%,0.00%,42.06%,29.36%,62.81%,38.28%,0.00%,28.76%,20.05%,21.92%,34.05%,23.07%,2.65%,4.11%,2.87%,45.16,70.14,47.06,45.16,214.71,24.13,24.13,15.53,23.15,5.07,-1.90%,17.48%,87.62%,807.67%,1.02,0.76,-2.00%,-2.83%,-14.27%,-20.02%,3.07%,-0.41%,-748.78%,63.26%,45.14,2.32%,-3.33%,-19.20%,-0.64
Reliance Finance,2025/26 Q3,457.00,459.65,-12.00,-1.72%,-1.36%,6.28%,9.59%,-7.95%,"5,125,034,726.00","1,121,452.00","177,210.00","597,327.00","223,334.00","37,901.00","-58,821.00",45.22%,21.93%,0.00%,22.73%,15.91%,39.67%,24.47%,0.00%,34.20%,30.69%,3.96%,11.33%,21.56%,0.45%,1.29%,2.45%,4.50,12.90,22.76,4.50,115.80,101.41,101.41,35.41,20.07,3.94,0.00%,31.77%,88.71%,885.85%,1.69,1.57,-2.43%,-3.46%,-16.97%,-24.08%,3.44%,-0.19%,-1810.53%,67.39%,43.84,8.08%,4.37%,-10.04%,-0.26
Ridi Power Company Limited,2025/26 Q3,384.90,346.81,-0.10,6.03%,17.89%,9.69%,73.46%,51.18%,"8,942,581,078.20","2,323,351.80","74,371.27","298,312.28","260,822.07","74,171.94",0.00,86.71%,3.96%,109.16%,68.13%,44.80%,81.09%,4.78%,103.13%,66.43%,42.94%,4.16%,6.18%,7.58%,2.62%,3.90%,4.70%,4.25,6.32,7.54,4.25,103.20,90.42,90.42,60.84,50.98,3.72,1116.18%,662.40%,39.38%,158.05%,1.01,0.96,-1.90%,-2.72%,-15.45%,-21.93%,5.75%,0.77%,746.75%,18.80%,64.27,12.90%,17.17%,-0.28%,2.22
RSDC Laghubitta Bittiya Sanstha Ltd.,2025/26 Q4,635.00,668.42,-2.10,-0.80%,-1.24%,-3.93%,-1.24%,-13.51%,"6,566,309,575.00","1,034,064.41","321,255.07","413,915.28","191,542.50","138,238.24",0.00,52.20%,-68.47%,0.00%,121.05%,86.28%,46.28%,0.11%,0.00%,47.47%,33.40%,10.48%,22.01%,10.54%,2.37%,4.99%,2.10%,13.36,28.07,13.36,13.36,131.06,47.49,47.49,22.61,47.49,4.84,-46.38%,0.00%,76.09%,418.24%,1.33,1.12,-1.95%,-2.76%,-12.56%,-17.82%,3.36%,-0.28%,-1200.00%,56.15%,40.21,-1.27%,-0.19%,-15.05%,-2.26
Sagarmatha Lumbini Insurance Co. Limited,2025/26 Q3,586.00,606.03,-8.00,-1.18%,-1.01%,0.51%,-2.96%,-14.36%,"15,368,659,852.00","2,622,638.20","188,190.97","2,081,389.18","726,397.43","133,213.73",0.00,63.21%,36.81%,30.99%,28.85%,19.80%,36.59%,25.03%,14.39%,13.70%,9.32%,6.42%,13.85%,9.76%,1.17%,2.52%,1.78%,6.77,14.62,10.84,6.77,233.63,86.52,86.52,40.07,54.02,1.46,0.00%,0.00%,58.91%,243.36%,0.83,0.84,-1.39%,-1.97%,-10.41%,-14.53%,2.34%,-0.27%,-866.67%,65.29%,41.62,4.00%,1.58%,-14.36%,-0.26
Salt Trading Corporation,2025/26 Q3,"5,200.00","5,600.13",0.00,0.21%,0.19%,-4.62%,3.07%,5.78%,"16,677,289,200.00","352,788.65","1,404,704.76","8,612,540.05","640,772.98","95,765.01",-,8.73%,3.12%,4.96%,4.81%,2.28%,7.50%,4.62%,3.82%,3.70%,0.97%,7.38%,11.56%,6.32%,1.24%,1.94%,1.14%,36.19,56.71,30.73,39.63,498.17,131.20,143.67,91.68,169.16,10.43,93.46%,49.26%,0.00%,583.39%,0.98,1.27,-1.59%,-2.26%,-14.01%,-19.94%,2.62%,0.12%,2183.33%,48.63%,49.37,-7.01%,2.33%,-9.53%,6.97
Samata Gharelu Laghubitta Bittiya Sanstha Limited,2025/26 Q3,732.00,775.98,10.80,-1.08%,-0.27%,-4.80%,-4.25%,-26.67%,"4,604,657,712.00","660,504.14","261,306.40","592,750.76","341,320.02","82,307.53",0.00,58.85%,52.89%,0.00%,18.47%,12.93%,58.11%,39.18%,0.00%,28.26%,17.43%,12.07%,11.34%,16.07%,1.62%,1.52%,2.21%,16.61,15.60,21.37,16.61,139.56,44.05,44.05,46.90,34.25,5.24,4.32%,34.93%,87.08%,774.14%,1.02,0.94,-2.00%,-2.83%,-14.42%,-20.34%,3.47%,-0.65%,-533.85%,55.05%,40.63,-1.33%,-3.88%,-28.75%,-0.81
Sana Kisan Bikas Bank,2025/26 Q4,750.50,767.75,-4.50,-0.98%,1.01%,-1.90%,-3.29%,-5.97%,"32,366,225,108.00","4,927,170.07","5,999,545.42","2,088,375.42","1,273,970.39","653,145.92",0.00,59.92%,13.57%,0.00%,46.58%,32.94%,61.00%,16.54%,0.00%,44.54%,31.28%,6.02%,6.27%,6.14%,1.58%,1.64%,1.59%,13.25,13.79,13.25,13.25,221.76,56.61,56.61,54.42,56.61,3.38,-4.73%,91.43%,73.98%,384.34%,0.83,0.83,-1.29%,-1.83%,-9.08%,-12.80%,2.54%,-0.13%,-1953.85%,63.11%,39.73,0.89%,-1.14%,-9.14%,-0.74
Sanima Bank,2025/26 Q4,373.70,354.94,-2.80,0.75%,6.13%,2.81%,17.85%,4.83%,"50,754,161,167.20","15,581,525.41","12,008,730.41","16,603,839.91","6,991,583.49","3,550,144.52","1,770,335.83",43.72%,16.53%,0.00%,44.03%,28.64%,42.11%,18.80%,0.00%,31.11%,21.38%,13.15%,17.78%,14.34%,1.26%,1.70%,1.30%,22.78,30.80,22.78,22.78,177.07,16.40,16.40,12.13,16.40,2.11,0.00%,17.24%,90.53%,1055.49%,0.90,0.83,-1.30%,-1.85%,-9.85%,-14.03%,2.58%,0.07%,3685.71%,39.61%,63.27,7.10%,6.25%,-0.45%,0.95
Sanima Mai Hydropower,2025/26 Q3,499.90,520.92,-1.10,-1.01%,2.23%,-3.87%,-4.78%,-15.24%,"18,686,230,506.30","3,737,993.71","1,248,162.90","311,275.47","235,167.70","135,481.53",0.00,68.74%,78.39%,38.53%,38.53%,10.83%,78.54%,42.34%,52.69%,52.69%,37.74%,3.20%,0.70%,2.98%,3.13%,0.68%,2.88%,4.83,1.05,4.87,4.83,133.39,103.44,103.44,473.65,102.48,3.74,780.99%,47.71%,8.45%,102.45%,1.28,1.40,-1.81%,-2.58%,-15.73%,-22.53%,2.89%,-0.32%,-903.13%,59.57%,45.55,-0.47%,-3.31%,-15.27%,-0.78
Shangrila Development Bank,2025/26 Q4,409.00,418.02,-2.00,-1.11%,2.12%,-0.37%,2.25%,-4.03%,"14,545,090,312.00","3,734,068.50","2,595,015.95","4,774,523.36","2,420,107.93","889,937.93","478,193.37",58.45%,33.15%,0.00%,46.67%,29.53%,50.69%,28.25%,0.00%,28.34%,18.64%,14.52%,26.46%,15.26%,1.37%,2.49%,1.39%,23.83,43.42,23.83,23.83,169.49,17.16,17.16,9.41,17.16,2.41,0.00%,7.87%,90.42%,1043.48%,1.42,1.23,-1.84%,-2.63%,-12.19%,-17.43%,2.70%,-0.09%,-3000.00%,64.86%,45.04,1.60%,1.04%,-11.09%,-0.97
Shikhar Insurance,2025/26 Q3,616.90,629.58,6.40,0.64%,0.97%,0.80%,-2.23%,-14.46%,"18,032,597,731.00","3,101,567.80","53,680.60","1,945,567.22","754,082.72","70,575.60",0.00,58.39%,33.01%,25.36%,23.90%,16.13%,43.62%,32.10%,11.78%,9.91%,5.92%,3.01%,14.77%,5.38%,0.60%,2.95%,1.12%,3.03,14.87,5.35,3.03,189.60,203.33,203.33,41.48,115.09,1.64,0.00%,0.00%,61.87%,262.25%,1.06,1.19,-1.53%,-2.16%,-13.23%,-18.40%,2.98%,-0.31%,-961.29%,37.62%,47.27,4.97%,0.54%,-15.06%,-0.64
Shine Resunga Development Bank,2025/26 Q4,408.20,411.40,-2.00,-0.44%,2.08%,-0.44%,2.38%,-1.38%,"19,902,614,747.60","5,021,972.73","2,987,319.80","6,009,961.82","2,826,703.20","1,181,279.43","811,834.08",49.88%,23.33%,0.00%,37.77%,25.56%,47.03%,18.30%,0.00%,28.92%,19.66%,15.05%,20.02%,15.55%,1.37%,1.82%,1.42%,23.52,31.29,23.52,23.52,159.48,17.35,17.35,13.04,17.35,2.55,0.00%,6.60%,90.87%,1095.03%,1.33,1.18,-1.78%,-2.53%,-11.78%,-16.86%,2.49%,-0.03%,-8300.00%,56.54%,46.94,3.38%,0.99%,-9.09%,-0.40
Shree Investment Finance,2025/26 Q3,510.00,554.82,7.00,-1.51%,-0.97%,-2.86%,3.33%,-1.71%,"5,100,002,040.00","1,000,000.00","390,843.42","531,898.04","166,005.04","25,360.87","17,895.81",30.85%,16.81%,0.00%,11.40%,7.98%,29.35%,17.52%,0.00%,9.27%,6.49%,2.46%,3.83%,3.30%,0.33%,0.51%,0.46%,3.38,5.27,4.61,3.38,139.08,150.82,150.82,96.61,110.42,3.66,0.00%,46.54%,86.67%,750.27%,1.70,1.43,-2.46%,-3.51%,-15.40%,-21.95%,3.77%,-0.07%,-5385.71%,64.97%,39.59,-1.59%,-0.07%,-22.49%,0.53
Siddhartha Bank,2025/26 Q4,411.00,395.00,-4.00,0.07%,5.85%,4.58%,9.08%,18.91%,"57,909,818,622.00","18,294,479.20","18,625,719.67","21,054,091.97","9,051,188.75","3,519,409.79","1,459,068.53",45.08%,17.54%,0.00%,39.60%,26.89%,42.99%,22.06%,0.00%,24.52%,16.72%,10.75%,18.38%,11.11%,0.93%,1.59%,0.99%,23.78,40.67,23.78,23.78,225.89,17.27,17.27,10.10,17.27,1.81,0.00%,19.10%,90.53%,1055.61%,0.91,0.94,-1.37%,-1.95%,-10.96%,-15.61%,2.35%,0.32%,734.38%,54.24%,58.93,8.68%,5.36%,-2.14%,1.10
Sindhu Bikash Bank,2025/26 Q3,700.00,741.11,0.00,-0.14%,0.72%,-1.27%,-2.11%,-13.12%,"3,902,192,700.00","557,456.06","-48,516.73","293,380.01","100,719.27","-33,073.68","-62,655.38",42.08%,38.16%,0.00%,-1.34%,-17.68%,33.99%,36.64%,0.00%,6.02%,1.55%,-8.53%,-13.62%,1.29%,-0.70%,-1.12%,0.10%,-7.91,-12.63,1.13,-7.91,91.29,-88.48,-88.48,-55.41,614.12,7.66,0.00%,14.87%,91.80%,1219.89%,1.44,1.20,-2.61%,-3.73%,-14.86%,-21.39%,5.37%,-0.28%,-1917.86%,48.96%,46.03,2.97%,-2.83%,-23.90%,0.52
Soaltee Hotel,2025/26 Q3,498.60,500.35,-1.40,-0.28%,1.34%,0.18%,2.19%,2.40%,"50,950,073,723.40","1,175,152.54","1,966,195.81","2,249,778.82","815,168.90","550,732.61",0.00,38.82%,21.89%,38.82%,33.19%,32.91%,35.07%,22.03%,35.07%,29.32%,28.99%,24.16%,26.73%,26.33%,19.19%,21.24%,20.68%,6.24,6.91,6.41,6.24,26.73,79.79,79.79,72.10,77.70,18.65,149.62%,118.45%,18.17%,122.21%,0.98,1.05,-1.57%,-2.26%,-13.60%,-20.06%,3.06%,0.03%,10200.00%,54.03%,50.72,4.22%,1.31%,-6.80%,-0.00
Standard Chartered Bank,2025/26 Q3,654.00,651.57,29.00,0.31%,1.87%,1.08%,3.48%,4.60%,"65,677,089,336.00","10,042,368.00","11,909,065.00","5,496,601.00","2,914,742.00","2,081,621.00","1,266,433.00",53.15%,33.68%,0.00%,56.80%,40.03%,54.03%,28.45%,0.00%,56.59%,38.12%,12.87%,13.14%,13.57%,1.61%,1.65%,1.81%,27.63,28.21,29.24,27.63,218.58,23.66,23.66,23.18,22.36,2.99,0.00%,47.92%,87.49%,799.30%,0.66,0.67,-1.16%,-1.65%,-7.27%,-10.61%,1.66%,0.08%,2075.00%,44.49%,52.59,6.02%,1.56%,-6.40%,-0.28
SuryaJyoti Life Insurance Company Limited,2025/26 Q3,414.20,434.35,1.70,-0.84%,0.05%,-3.22%,-8.45%,-3.97%,"20,759,487,787.60","5,011,947.79","534,025.02","11,597,095.50","1,439,448.93","330,332.69",0.00,14.12%,8.03%,6.09%,5.88%,3.30%,13.05%,6.23%,4.05%,3.85%,2.37%,8.00%,9.33%,6.88%,0.80%,0.93%,0.74%,8.78,10.25,7.67,8.78,125.48,47.13,47.13,40.40,53.93,3.74,0.00%,0.00%,88.80%,892.49%,1.03,1.19,-1.63%,-2.30%,-14.69%,-20.45%,2.90%,-0.09%,-3222.22%,60.20%,43.32,-0.03%,-2.65%,-14.58%,-0.25
Swabalamban Bikas Bank,2025/26 Q3,673.00,728.99,-38.90,0.00%,0.46%,-9.05%,-8.68%,-23.99%,"11,149,086,250.00","1,750,000.00","2,215,311.34","2,569,172.06","1,411,465.93","322,725.55",0.00,54.08%,42.35%,0.00%,25.14%,17.62%,56.47%,39.50%,0.00%,27.89%,18.26%,11.05%,15.42%,17.11%,1.66%,2.32%,2.64%,24.58,34.30,36.86,24.58,226.58,27.37,27.37,19.61,18.25,2.97,4.57%,4.13%,85.10%,670.98%,1.06,0.98,-1.67%,-2.36%,-12.15%,-17.01%,3.70%,-0.53%,-698.11%,44.30%,42.51,-6.79%,-4.65%,-24.09%,2.85
Swarojgar Laghu Bitta Bikas Bank,2025/26 Q3,798.30,823.23,-1.70,-1.32%,0.57%,-2.18%,-3.51%,-13.44%,"6,258,070,081.80","895,633.63","537,644.92","1,023,814.31","538,381.84","210,230.76",0.00,53.87%,29.97%,0.00%,33.04%,23.52%,52.82%,30.98%,0.00%,29.69%,21.06%,20.06%,23.68%,22.16%,2.51%,2.96%,2.73%,31.29,36.95,32.34,31.29,160.02,25.50,25.50,21.60,24.68,4.98,0.73%,14.62%,87.44%,795.98%,1.07,1.04,-1.88%,-2.67%,-12.61%,-18.04%,3.13%,-0.29%,-1079.31%,63.02%,43.56,0.50%,0.17%,-13.79%,-0.43
Synergy Power Development Ltd.,2025/26 Q3,362.40,400.48,-26.60,-3.33%,-2.03%,-9.40%,-5.38%,-2.24%,"4,384,541,700.00","1,330,848.75","95,498.97","162,269.05","152,521.46","53,236.53",0.00,91.26%,30.75%,60.51%,8.60%,-8.26%,89.59%,14.96%,74.80%,50.44%,32.35%,4.96%,-0.64%,4.97%,4.07%,-0.53%,4.14%,5.33,-0.69,5.27,5.33,107.17,67.94,67.94,-523.78,68.73,3.38,2560.75%,433.94%,19.40%,121.63%,1.41,1.21,-2.14%,-3.04%,-14.94%,-21.25%,4.09%,-0.05%,-8180.00%,79.29%,41.67,-6.73%,-2.64%,-21.73%,-2.31
Taragaon Regency Hotel,2025/26 Q3,792.00,766.30,13.00,0.78%,2.86%,5.46%,11.55%,-16.09%,"15,539,991,984.00","1,962,120.16","927,986.46","235,174.52","-68,473.31","-144,831.72",0.00,-1363.88%,0.00%,-1363.88%,-2686.61%,-2686.61%,24.15%,0.00%,24.15%,10.66%,10.66%,-6.62%,-7.40%,1.09%,-4.63%,-5.18%,0.75%,-9.84,-11.00,1.68,-9.84,147.29,-80.47,-80.47,-71.94,470.25,5.37,133.64%,132.86%,29.55%,141.95%,0.97,1.19,-1.95%,-2.79%,-13.65%,-19.97%,2.49%,-0.33%,-754.55%,32.93%,57.27,7.28%,2.53%,-18.22%,0.43
Unilever Nepal,2025/26 Q3,"48,000.00","46,869.88",200.00,-0.41%,3.00%,3.11%,2.13%,6.66%,"44,193,600,000.00","92,100.00","4,618,800.00","5,762,300.00","2,999,500.00","1,186,100.00",0.00,54.51%,20.09%,34.42%,29.91%,23.77%,52.17%,21.36%,18.61%,14.39%,21.06%,35.25%,40.58%,33.96%,20.18%,23.23%,21.52%,"1,717.11","1,976.98","1,803.58","1,717.11","5,114.98",27.95,27.95,24.27,26.61,9.38,223.61%,174.01%,35.44%,154.90%,0.26,0.22,-1.50%,-2.14%,-5.78%,-8.98%,1.43%,0.13%,1100.00%,53.62%,56.19,8.11%,0.42%,-1.21%,105.45
United Modi Hydropower,2025/26 Q3,582.10,596.66,22.10,-0.78%,1.23%,4.73%,10.50%,8.96%,"7,162,740,500.00","1,230,500.00","143,728.00","215,298.00","201,008.00","50,245.00",0.00,95.39%,23.52%,71.95%,43.00%,19.25%,93.92%,17.56%,76.47%,52.08%,25.57%,4.90%,3.65%,5.31%,3.12%,2.33%,3.37%,5.44,4.05,5.81,5.44,111.68,106.91,106.91,143.53,100.05,5.21,2951.25%,787.85%,37.44%,156.18%,1.42,1.22,-2.24%,-3.20%,-15.09%,-21.67%,3.24%,0.12%,2700.00%,61.06%,48.53,6.12%,4.73%,-9.29%,-0.10
Vijaya Laghubitta Bittiya Sanstha,2025/26 Q3,665.00,724.93,-1.00,-0.89%,0.15%,-4.39%,-12.15%,-27.69%,"4,954,518,660.00","791,722.05","462,308.49","776,365.04","320,671.53","-26,796.15",0.00,41.47%,60.25%,0.00%,-9.95%,-10.28%,45.76%,51.52%,0.00%,1.63%,-0.72%,-2.87%,-8.08%,-0.65%,-0.31%,-0.87%,-0.07%,-4.51,-12.69,-1.02,-4.51,158.39,-147.36,-147.36,-52.39,-651.11,4.19,1.98%,42.09%,89.53%,955.10%,1.07,0.82,-1.91%,-2.70%,-13.41%,-18.66%,2.96%,-0.65%,-455.38%,53.37%,42.15,-3.76%,-7.46%,-28.15%,0.56
Suryodaya Womi Laghubitta Bittiya Sanstha Limited,2025/26 Q3,610.00,661.23,4.80,-2.71%,0.35%,-7.72%,-9.36%,-22.85%,"6,748,348,260.00","1,106,286.29","584,391.58","1,206,743.42","660,545.97","189,376.76",0.00,57.24%,40.92%,0.00%,25.66%,17.96%,58.57%,44.84%,0.00%,21.06%,14.74%,15.26%,17.46%,15.30%,1.97%,2.25%,1.96%,22.82,26.11,22.50,22.82,152.82,26.72,26.72,23.35,27.10,3.99,0.27%,6.26%,87.03%,771.17%,0.84,0.91,-1.69%,-2.38%,-11.89%,-16.91%,2.43%,-0.51%,-476.47%,82.17%,39.82,-4.97%,-4.68%,-23.04%,-0.41
Nepal Hydro Developers Ltd.,2025/26 Q3,641.00,644.44,-3.00,1.75%,1.58%,0.31%,-13.61%,-2.42%,"2,488,340,847.00","423,134.00","99,858.00","94,214.00","81,907.00","53,167.00",0.00,80.37%,2.89%,77.58%,53.96%,41.49%,84.72%,3.77%,81.33%,64.28%,50.65%,13.66%,6.49%,11.48%,12.37%,5.88%,10.17%,16.75,7.96,13.41,16.75,123.59,38.26,38.26,80.46,47.76,5.18,431.66%,167.68%,18.97%,109.18%,1.50,1.16,-2.30%,-3.30%,-15.27%,-21.98%,3.65%,-0.04%,-9125.00%,31.39%,50.68,5.30%,-1.28%,-13.61%,-0.23
Support Microfinance Bittiya Sanstha Ltd.,2025/26 Q3,"1,800.00","1,835.61",0.00,-0.88%,-1.21%,2.56%,3.15%,-19.67%,"2,203,984,800.00","134,075.57","111,778.19","225,702.88","134,079.81","46,784.42",0.00,59.79%,40.69%,0.00%,28.76%,20.13%,59.64%,38.78%,0.00%,30.50%,22.06%,26.14%,25.19%,30.46%,2.74%,2.64%,3.12%,46.52,44.83,50.22,46.52,183.36,38.68,38.68,40.14,35.84,9.81,5.23%,10.39%,89.36%,939.56%,0.86,0.69,-2.44%,-3.48%,-17.08%,-24.61%,3.57%,-0.43%,-830.23%,55.02%,44.37,6.41%,-1.65%,-20.12%,-7.49
Radhi Bidhyut Company,2025/26 Q3,715.00,785.75,-30.00,-1.37%,1.42%,-5.77%,-4.03%,-9.72%,"13,148,703,425.00","1,838,979.31","1,402,487.66","109,625.70","82,113.99","323,942.43",0.00,71.09%,38.53%,32.56%,14.06%,79.98%,62.79%,38.50%,585.51%,568.81%,462.33%,13.53%,3.19%,22.44%,11.93%,2.82%,19.71%,23.48,5.54,33.85,23.48,176.26,30.44,30.44,128.96,21.11,4.05,2055.32%,175.98%,16.33%,113.41%,1.30,1.34,-2.03%,-2.92%,-18.11%,-26.39%,4.39%,-0.21%,-2090.48%,60.51%,42.77,-3.67%,-4.75%,-22.28%,-1.65
Corporate Development Bank,2025/26 Q3,"1,025.00","1,803.29",35.00,-11.26%,-40.06%,-49.56%,-35.13%,-50.76%,"5,381,250,000.00","525,000.00","206,162.42","165,458.11","67,729.64","48,263.02","-2,664.19",49.30%,26.03%,0.00%,116.24%,54.35%,36.25%,20.50%,0.00%,26.05%,6.80%,8.91%,19.57%,1.94%,2.14%,4.71%,0.49%,12.25,26.91,2.68,12.25,139.26,83.62,83.62,38.08,381.76,7.35,0.00%,27.05%,76.95%,433.81%,1.36,1.40,-3.24%,-4.63%,-19.06%,-28.14%,7.75%,-1.32%,-587.12%,91.47%,27.23,-46.20%,-6.85%,-62.97%,-41.90
Wean Nepal Laghubitta Bittiya Sanstha Limited,2025/26 Q3,"1,335.00","1,456.74",11.40,-0.96%,0.68%,-8.56%,-9.86%,-43.60%,"1,125,947,010.00","84,340.55","26,821.18","87,301.24","47,267.11","8,604.35",0.00,46.11%,-33.19%,0.00%,90.77%,74.92%,53.17%,43.31%,0.00%,18.90%,13.52%,10.50%,63.84%,14.17%,1.16%,7.03%,1.68%,13.60,82.68,18.67,13.60,131.80,98.14,98.14,16.14,71.48,10.12,-19.85%,45.33%,88.77%,890.43%,0.62,0.44,-2.93%,-4.19%,-20.01%,-28.62%,4.73%,-1.13%,-418.58%,48.65%,40.07,-6.52%,-14.99%,-44.52%,-0.38
Nadep Laghubitta Bittiya Sanstha Ltd.,2025/26 Q3,730.00,759.91,-44.00,-1.48%,0.43%,-3.62%,-10.98%,-22.40%,"3,546,048,000.00","485,760.00","305,411.64","588,746.25","324,713.61","65,105.98",0.00,56.99%,45.10%,0.00%,20.03%,14.02%,55.59%,43.46%,0.00%,19.31%,13.55%,11.16%,14.10%,14.34%,1.25%,1.58%,1.64%,17.87,22.57,22.87,17.87,162.87,40.84,40.84,32.33,31.90,4.48,0.86%,9.07%,88.70%,885.10%,1.15,1.12,-1.87%,-2.65%,-13.07%,-18.67%,3.84%,-0.57%,-673.68%,59.57%,47.23,-0.66%,-3.98%,-25.68%,-0.05
